"","K1","K2","K","r1","r2","p1","r1.interAHM","p1.intraA","p2","p2.intraS","p2.interS"
"Horsfieldia crassifolia",NA,0.992701717019165,0.992701717019165,NA,-13.2852980593864,NA,NA,NA,3.85458133907879,-0.120633408089666,-0.0379638595410623
"Horsfieldia polyspherula",0.969892225585516,0.992523230859186,0.969892225585516,4.07065039815022,-12.9825564882384,-4.76927214793389,-0.422444358478487,1.12407060283703,3.99868827557346,-0.31781728419361,-0.0379638595410623
"Horsfieldia punctatifolia",NA,0.992414654962569,0.992414654962569,NA,-13.262668101279,NA,NA,NA,3.93543422340502,-0.351273390746625,-0.416664906223249
"Knema malayana",0.969553893290015,0.993453293850928,0.969553893290015,4.20957792718615,-13.2193591963974,-4.78574343412514,-0.789886393063085,0.982571979896138,3.37380841270223,-0.0111100729060972,-0.19235904849658
"Lithocarpus ewyckii",0.9705614230565,0.985138793844802,0.9705614230565,4.59194675051712,-12.7377300772686,-4.62780962302581,-1.60439593126681,1.04311042877347,4.11272309040193,-0.269776342503615,-0.0379638595410623
"Litsea elliptica",0.970075681913511,0.978740436854109,0.970075681913511,4.09253462787505,-12.9973765169184,-4.90193988906462,-0.53549138106104,1.04518505045361,4.09258595409952,-0.224963153922161,-0.39991380513187
"Litsea firma",0.966465567028457,0.988636158912944,0.966465567028457,4.26064363770362,-12.9555578115874,-5.03180988240186,-0.617764731959304,1.11229756438415,4.3256220621003,-0.362580545949206,-0.336100527187709
"Lophopetalum multinervium",0.970324583274004,0.993496396685263,0.970324583274004,4.3337440559383,-12.9345951423696,-5.54848907770339,-0.596328370543359,1.10269038864448,3.96268356884476,-0.108875997830314,-0.0379638595410623
"Macaranga bancana",0.969792579750021,0.968711110373615,0.969792579750021,3.76384400493245,-12.5694370514138,-1.01355321490479,-0.744778054697962,0.672931903579884,3.49652214494128,-0.198259561337294,-0.0852233309554582
"Macaranga gigantea",0.970099686421792,0.989808287462132,0.970099686421792,3.48493039701743,-13.4588575354959,-1.86916572657065,-1.14608161944002,-0.612405921914909,3.71039462288561,-0.458137740289393,-0.942696253767685
"Macaranga griffithiana",0.970065983357695,0.988083900328434,0.970065983357695,4.2291150821092,-13.3940470168591,-4.5111911275776,-0.94007581206744,1.06025948433423,3.17799046448346,-0.39598126336687,-0.0379638595410623
"Macaranga recurvata",0.96974379650144,0.993782418545767,0.96974379650144,4.2584265024225,-13.1597126158369,-4.49282883391721,-0.979084156515985,1.08159395922276,4.04835220216843,-0.108875997830314,-0.0379638595410623
"Maclurodendron porteri",0.969851499576293,0.988004572333678,0.969851499576293,4.53075155497167,-12.6261661129475,-4.59725465691737,-1.53042045751613,1.10018042866203,2.40290038649112,-0.108875997830314,-0.0379638595410623
"Madhuca sp.",0.969935078562182,0.991881861531254,0.969935078562182,4.53943206850085,-13.3732893970821,-4.57215303992434,-1.534574383082,1.05815096393443,4.66389789054099,-0.0407413481925177,-0.0379638595410623
"Mussaendopsis beccariana",NA,0.99141659369937,0.99141659369937,NA,-13.3265253716832,NA,NA,NA,4.19062388982094,-0.169711083739451,-0.0379638595410623
"Osmelia philippina",0.970403037138071,0.985042823810419,0.970403037138071,4.13537974516213,-12.7148549248617,-4.86429636962034,-0.506744199990976,1.08081647043288,2.62999587340266,-0.344798810492229,-0.0379638595410623
"Palaquium xanthochymum",0.969509342565995,0.987453939432146,0.969509342565995,4.54627272902333,-13.1667202628361,-4.6511303351275,-1.56626075783384,1.09270497376099,4.30185191522833,-0.0683011366750113,-0.0379638595410623
"Pellacalyx axillaris",0.969686452818294,0.987952624315659,0.969686452818294,4.07736364233118,-13.4462445784483,-4.48777142998676,-0.640447769827037,1.07485011862424,3.7665782080329,-0.182331344543298,-0.0379638595410623
"Pentace triptera",0.969111742539017,0.985616593632665,0.969111742539017,3.98732538396927,-12.7548868923562,-4.44928109634702,-0.177196834546564,1.52216973663686,4.04054652552175,-0.0346578863929146,-0.0379638595410623
"Pometia pinnata",0.969525519381208,0.993991448367806,0.969525519381208,5.95551723467583,-13.0035485064885,-5.17580976198218,-5.06819395814544,2.26424202593655,4.49677716072572,-0.108875997830314,-0.0379638595410623
"Porterandia anisophylla",0.969688972283591,0.987215147025563,0.969688972283591,4.13229567079072,-12.9527594361323,-4.68196489765794,-0.454728724092806,1.21780700667525,2.58619702793817,-0.0782602649828996,-0.776561139265212
"Prunus polystachya",0.966640751915648,0.988224050995937,0.966640751915648,4.37619898060772,-13.0712704334541,-3.85609723711776,-3.0169867451611,1.39888085107993,4.25760142935398,-0.108875997830314,-0.0379638595410623
"Pternandra coerulescens",0.969986269070646,0.995551514831987,0.969986269070646,4.34087276863908,-13.7800793544043,-4.89646789775947,-1.11208202630984,0.880766913025438,3.50462456675741,-0.108875997830314,-0.0379638595410623
"Pternandra echinata",0.968957641828202,0.99276578595863,0.968957641828202,1.70437145301768,-13.2003147255301,-3.36993441495433,-0.744778054697962,1.43465187492392,3.44539785031236,-0.108875997830314,-0.558224617481385
"Rhodamnia cinerea",0.970141155486985,0.958569661193232,0.970141155486985,4.07362972152765,-13.0241934947209,-4.94353775393736,-0.0801086631117687,0.926811049262943,3.95003234215587,-0.108875997830314,-0.387207242500244
"Sandoricum beccarianum",0.969864772109411,0.990647980360226,0.969864772109411,4.63081321595456,-12.5809553183911,-4.58133905833488,-1.60804776723523,1.10967625164374,3.44573104113763,-0.184653705283417,-0.0379638595410623
"Strombosia ceylanica",0.973481204001884,0.995623316575953,0.973481204001884,3.84573163654581,-12.8519930508114,-5.3257798324448,-0.744778054697962,1.06525011092108,4.27611442180495,-0.00798458330005543,-0.0379638595410623
"Symplocos fasciculata",0.970429359935621,0.989508990489249,0.970429359935621,4.11535748565504,-13.2519458787043,-4.71523486467261,-0.574018743240906,1.27110624955519,3.81524204921269,-0.290110998107863,-0.0379638595410623
"Syzygium lineatum",0.970617674048912,0.992654863698555,0.970617674048912,4.10101287859346,-12.9120830022545,-5.15243740940511,-0.356665438938404,1.24056210450575,3.48530303591791,-0.499906577052255,-1.17667194539193
"Syzygium pachyphyllum",0.968583490056705,0.987144824601389,0.968583490056705,4.078131903528,-12.8284775660738,-4.81734369171158,-0.452956617994558,1.01562911159588,3.65794027418433,-0.00841766721848591,-0.0379638595410623
"Syzygium pseudoformosum",0.969636901826482,0.990015312744134,0.969636901826482,4.02306362531876,-11.6956541471527,-4.70733734012337,-0.244658942359557,1.10607985360882,2.10302164302712,-0.521052849755496,-0.0147123459051869
"Timonius flavescens",0.969573694720381,0.991648109802102,0.969573694720381,4.08618277696738,-12.6208107293576,-4.60334561737162,-0.540296836103427,1.08136264428432,3.70057987208411,-0.079269699116665,-0.0149804515949747
"Timonius wallichianus",0.968039300539384,0.986260881870322,0.968039300539384,3.02677896112227,-13.1004684689759,-3.43837533155929,-0.744778054697962,0.402542670369652,3.93797501198805,-0.108875997830314,-0.770240138149899
"Xanthophyllum flavescens",0.968241373314097,0.991466786059217,0.968241373314097,4.0165642542026,-12.941518094795,-4.99416528879092,-0.670961509240688,0.893795599790347,4.12099922311211,-0.108875997830314,-0.0379638595410623
"Xylopia malayana",0.970913931504245,0.992285793541883,0.970913931504245,4.13788588093433,-12.8121416577616,-5.08296211006796,-0.384364484367973,1.17472730900682,3.73021013319109,-0.00315488179483692,-0.114550993219321
"population",0.969665609545704,0.989384353633225,0.979524981589464,4.07061418793343,-12.7125046752208,-4.46244757566888,-0.744778054697962,1.08294003555068,3.78069701513598,-0.108875997830314,-0.0379638595410623
